kabupaten,temperature_mean_c,temperature_max_c,temperature_min_c,rainfall_mm_year,precip_hours_day,humidity_pct,sunshine_hrs_day,shortwave_radiation,et0_mm_day,vapour_pressure_def,wind_speed,soil_moisture_0_7cm,soil_moisture_7_28cm,soil_temperature,centroid_lat,centroid_lon,province
Bandung,22.86966023841605,27.513542259899694,18.86504592035332,2589.9,7.413078454599895,81.14497968785089,9.48537960987079,19.035614798076203,3.796702831237368,1.4392564273149187,4.483279827270005,0.3226410962927614,0.31541013830563663,23.937325277902538,-7.0706,107.5627,Jawa Barat
Bandung Barat,22.295836281720188,26.52185911089902,19.310669305337225,2869.825,8.27258355790104,82.49340617467625,9.443090406779449,18.71061782786885,3.6351529878733437,1.2847394268844974,5.985808292162587,0.36261340336103,0.3608004433808668,23.248187111685006,-6.85,107.45,Jawa Barat
Bangkalan,27.51164381783816,30.77637013904484,24.924176068568006,2212.125,7.6190971826109735,78.4565822048806,9.957953069156977,20.003047343551163,4.353929763455349,1.7416987725503406,8.832750251702972,0.2930816774646306,0.2807071093551164,29.675825249831576,-7.0433,112.7323,Jawa Timur
Banjarnegara,24.210969315629914,27.96856341324201,21.25931985365671,3618.1125,10.612334004229359,85.33226184501086,8.804551767121728,16.92252701736657,3.3613033740362304,1.144410277715398,4.427476122838536,0.44939853824200915,0.44385767569615986,25.20300399636949,-7.387,109.6977,Jawa Tengah
Bantul,25.715572387529008,29.98675869544876,22.370086859046335,2393.0125,8.368577887566435,83.52026712328767,9.534125849947186,18.515598730256755,3.860795293060858,1.5276970841754622,7.299575818736432,0.201278170998952,0.18797643683097537,27.48180440059136,-7.8878,110.3394,DI Yogyakarta
Banyumas,25.259395862339996,28.675885178531328,22.648975385507896,4163.7875,11.449397703795194,84.45717639231978,8.912539508027775,16.892153080320384,3.376237464911296,1.137178088086683,4.783160385320757,0.37368990102178307,0.36957378883149933,25.939460768021558,-7.4143,109.2227,Jawa Tengah
Banyuwangi,25.97888246874766,29.414042964480874,23.401075480013475,1551.35,9.012207151545775,82.60173599539637,10.282426715263222,19.35129297477356,3.929821586757991,1.3819021869151882,7.786044513062355,0.20100483432517402,0.1787539399468523,26.630104802006137,-8.2196,114.3691,Jawa Timur
Batang,27.263336314469647,31.043389016767723,23.858067671607156,1992.0,6.615671864473389,77.28343300396736,9.87733636469328,19.785973730256757,4.187161964406019,1.7759788295343963,5.55853825885171,0.3665583048319485,0.3492813680290441,29.381062369937872,-6.909,109.729,Jawa Tengah
Bekasi,27.032009241896848,31.615741292387156,23.672907943146942,2521.5875,7.846860984167977,80.51285023860319,9.632835071859066,18.434160624859647,3.9870764144022757,1.9343712132270379,6.6616906439479004,0.30849503147690693,0.29585296885058765,28.520037365259377,-6.2383,107.0291,Jawa Barat
Blitar,25.198652734111835,29.47270717025975,22.07067978609926,2380.4625,7.7776455020959645,83.66695934482371,9.448963000549464,18.43968993000973,3.8217711791676026,1.4688365861965715,9.005920170858598,0.2045764347162961,0.19425222336065573,26.733078800808443,-8.1011,112.168,Jawa Timur
Blora,26.479307880455124,31.458433254734636,22.981641211917058,2356.0875,6.918861160079348,78.80855679598024,9.541799057634368,19.13552114398533,4.19749543715847,2.097284323396212,7.688642429261172,0.3967528109514185,0.3879057687981885,28.0946813664945,-6.9622,111.4143,Jawa Tengah
Bogor,25.86852042911146,30.327141231566735,22.502385454562468,2510.775,7.546849917658507,80.12669161894603,9.26845581659732,18.009679398719964,3.8203705606707086,1.7416675790665468,5.618484907178681,0.4117270246650198,0.40388919162175313,27.193605642263645,-6.5971,106.806,Jawa Barat
Bojonegoro,27.201962290403475,32.26525799554607,23.643294285687553,2260.9875,6.55800967044689,77.11850005614193,9.570408062014476,19.280602900666217,4.35603779118946,2.25373802137136,7.2444699322554085,0.28880339497716895,0.2810099912512164,28.870832628752154,-7.15,111.8815,Jawa Timur
Bondowoso,25.41172908058238,30.197987821880382,21.983784427165208,1628.75,5.620872980762033,77.72807945486188,10.013247478923386,19.51952999288869,4.2241785759600265,1.919393188767872,9.1475905681563,0.3526667513661202,0.33471566438356165,27.679506574219626,-7.9096,113.8227,Jawa Timur
Boyolali,24.49264297664496,28.882402595628413,21.591550165618685,3717.0,7.830311305112659,78.32050267142002,9.479593882980991,19.39958509057564,4.208781653660454,1.668136287427951,9.67783732315293,0.2924914820532974,0.2851356988079197,25.78865072703795,-7.5327,110.5951,Jawa Tengah
Brebes,27.17129694681488,31.04508556871772,24.382784075342467,1968.4499999999998,6.637683251927539,78.84378960532226,9.917378630399503,19.341944088255108,4.251172777528258,1.8534302111872147,8.090602072572798,0.28976077739726025,0.28088251606594805,28.597825218017814,-6.872,108.8641,Jawa Tengah
Ciamis,24.252914972116177,28.369863585410585,21.488081192454526,3267.6375,11.345831486263942,88.00007905251141,8.731762476332019,17.064105457930985,3.3773299108279065,1.1626574032487462,5.203973165094693,0.36175398486975074,0.35325348961374353,25.42974942641665,-7.3302,108.3526,Jawa Barat
Cianjur,24.020050272288344,28.616042040946176,20.441946965528857,2724.0125,7.615212176248223,80.56598408002095,9.377973056090983,18.976676352084738,3.862230640953664,1.6403268113256981,5.816179436147915,0.4044384113518976,0.391597902593757,25.49105413298151,-6.82,107.1397,Jawa Barat
Cilacap,26.119659051949995,28.36536974605135,24.129192447975147,2366.1375,10.614435113032412,85.24860803390972,9.648385270149234,19.296287166891233,3.862814017703421,0.9984607057975896,11.309291269930384,0.20378993070214835,0.19534983862938843,27.834730250205855,-7.7298,109.0068,Jawa Tengah
Cirebon,27.7255583576615,31.82668166123961,24.510245512388654,2130.925,5.903772230331612,74.51557635021334,10.073277056665917,19.557660402163336,4.654439051762857,2.1026529841305486,9.531739247885321,0.16277695923160415,0.15171136483831124,29.281956452578786,-6.74,108.55,Jawa Barat
Demak,27.101814733512988,32.05388080881803,23.771269123811663,2581.25,7.576361177857624,78.91538725671832,9.673040755769103,19.59812974773561,4.327312818418295,2.1718570195186766,7.814982968410809,0.40317828700688674,0.40293040966763977,28.12698906635976,-6.8938,110.6397,Jawa Tengah
Garut,22.600296669848042,26.972472303316117,19.254811144172468,3026.6625,8.648562060221574,86.33515847743095,9.180995563496,17.980925695224194,3.5387017063402952,1.1866293234897822,4.800483593457594,0.332448085111161,0.32977320043603564,24.12581680327869,-7.2111,107.8941,Jawa Barat
Gresik,27.603073831312223,31.356250248895876,24.58587688636874,1772.6875,6.081063974661277,77.30615286885246,9.98360107712965,19.80520343588592,4.424302840594356,2.0073870644322183,8.724929812298825,0.28060145884796767,0.27671578498577737,29.36967628845722,-7.156,112.6514,Jawa Timur
Grobogan,26.51473358222921,31.54840459240961,23.141008714162737,2661.625,7.372627739726028,80.13931923515982,9.631366809472494,19.501502558200464,4.194415308032038,2.065571331873643,7.443730888352421,0.3162174721629613,0.3103225746406917,27.66195302137136,-7.0107,110.9187,Jawa Tengah
Gunung Kidul,25.04707886537166,29.356468042143874,22.066995150273222,2376.2625,8.06195324313197,83.85422729526911,9.363920762305998,18.41512881110113,3.823877748334456,1.4955402212927615,9.8637127301819,0.4020736100194625,0.39196254549367465,26.706807527696682,-7.9699,110.597,DI Yogyakarta
Indramayu,27.806389667078374,31.86445906224268,24.4586946309604,1676.025,6.253164316191332,75.04582735141103,10.048011391823344,19.67479574912044,4.539546956452579,2.1415644587918257,9.108717574294483,0.23722224502208247,0.20780589113144696,30.264999422673853,-6.3278,108.3253,Jawa Barat
Jember,26.054671899094245,30.439388272887193,23.03275062130399,2351.125,8.33422166329815,82.46755588648102,9.507666333913987,18.361454258365146,3.805398574462909,1.6008333461524067,5.171358065723482,0.3075723185680066,0.2884336541938019,27.65960023673179,-8.1724,113.688,Jawa Timur
Jepara,26.888205982857997,30.062909076278164,24.33752964013025,3460.675,9.046496759675126,78.97932003237517,9.758430301918807,19.486343202148365,4.230857545381391,1.5927550753237518,9.43092941088405,0.4154757758159293,0.4093902156317838,28.133862359645185,-6.5893,110.6718,Jawa Tengah
Jombang,26.85843600288195,32.52454853376001,23.13592690227562,2777.25,6.429060865334232,79.20821022063777,9.631303202384888,19.556819208024553,4.28253878780223,2.320671344131297,6.480107927240063,0.2923580614379819,0.2865710813496519,28.252125869264166,-7.5464,112.2318,Jawa Timur
Karanganyar,24.792913845534848,28.93680478703496,21.670798393405196,2887.8875,8.077129147016992,78.36070250673703,9.526786419907303,18.527696876637474,3.9043851146231003,1.6021157057040198,8.437627957743842,0.4189009318717718,0.41605003645482447,26.052547416535667,-7.5927,111.036,Jawa Tengah
Karawang,27.295650723295157,32.075656599483494,23.946338594767575,2410.3875,7.411318330339097,79.10368026611273,9.704748875235484,18.51770580413953,4.076134935811064,2.1148207259151133,6.830516851935025,0.2975283334269032,0.2776169589696085,28.964551186466053,-6.3218,107.3328,Jawa Barat
Kebumen,26.054449536829104,29.557681806272925,23.27164162549592,2806.7375,9.663975660603338,83.90411175518378,9.289720904298289,18.161997634553483,3.7511687163148437,1.3033930417695936,7.79061121154278,0.3056624504266786,0.2892289799760461,27.474033829253685,-7.6696,109.6558,Jawa Tengah
Kediri,26.43855441088405,31.040590981735157,23.503076024590165,2111.4375,6.431429132045812,79.86224196421888,9.662657311677625,19.11669297383786,4.369301883748784,1.8518525640953665,13.1144424077401,0.27419218642862486,0.26565370457182425,27.93017730743319,-7.8306,112.0188,Jawa Timur
Kendal,27.21311307639045,30.903114071973953,24.12454275301295,2082.425,6.674916092147615,77.8754486928288,9.997548131794213,20.420275660603338,4.467024096676398,1.773955934669511,8.57990378115877,0.2704360558892881,0.2571729858148065,28.757792256156897,-6.9213,110.2014,Jawa Tengah
Klaten,26.24029536922674,31.343261566172618,22.896636047795493,1926.725,6.67319545998952,78.88494941799536,9.530343104630358,18.917155518751404,4.177410355846246,2.073969278014822,9.095828946777454,0.3752799825398608,0.34809984143648476,28.207571545400103,-7.706,110.6077,Jawa Tengah
Kota Bandung,23.002289727898795,28.01078809229733,18.953029586795417,2054.25,6.7740433874167225,78.94819925050528,9.46184980041805,18.6604164870125,3.7836104931132573,1.6467977241934277,6.407408695448761,0.31472531614454674,0.31756413190545696,23.786322940526986,-6.9175,107.6191,Jawa Barat
Kota Banjar,25.809746231941013,29.765558609364472,23.015579124560222,2762.4875,10.242412341866906,84.94524592877461,8.958044223172477,17.067320487124785,3.5095162411108616,1.3425175623175387,5.206298424283255,0.3402299903903735,0.32674174026873265,26.86691549610749,-7.3656,108.5381,Jawa Barat
Kota Batu,21.60228107362078,25.496195768770118,18.84732586084288,3491.3375,8.16265127348604,85.64994715266862,9.477105531079236,18.10589083483045,3.452603756362752,1.0843292003518228,5.017880757354592,0.42859156532113185,0.42232110976682385,23.26403482577289,-7.868,112.5279,Jawa Timur
Kota Bekasi,27.032009241896848,31.615741292387156,23.672907943146942,2521.5875,7.846860984167977,80.51285023860319,9.632835071859066,18.434160624859647,3.987275450726102,1.9343712132270379,6.6616906439479004,0.30849503147690693,0.29585296885058765,28.520037365259377,-6.2383,106.9756,Jawa Barat
Kota Blitar,25.198652734111835,29.47270717025975,22.07067978609926,2380.4625,7.7776455020959645,83.66695934482371,9.448963000549464,18.43968993000973,3.8217711791676026,1.4688365861965715,9.005920170858598,0.2045764347162961,0.19425222336065573,26.733078800808443,-8.0953,112.1608,Jawa Timur
Kota Bogor,25.86852042911146,30.327141231566735,22.502385454562468,2510.775,7.546849917658507,80.12669161894603,9.26845581659732,18.009679398719964,3.8203705606707086,1.7416675790665468,5.618484907178681,0.4117270246650198,0.40388919162175313,27.193605642263645,-6.5971,106.806,Jawa Barat
Kota Cilegon,26.539159687289466,29.74846788307508,23.74826489164608,2325.875,9.285544560782993,84.07705959559098,10.0022585729372,18.994252000523993,3.900975141196946,1.3422960670708886,8.38320650310652,0.2104592676847069,0.1936511468392095,27.862403122426826,-6.0022,106.0005,Banten
