kabupaten,province,year,temperature_mean_c,temperature_max_c,temperature_min_c,rainfall_mm_year,precip_hours_day,humidity_pct,sunshine_hrs_day,shortwave_radiation,et0_mm_day,vapour_pressure_def,wind_speed,soil_moisture_0_7cm,soil_moisture_7_28cm,soil_temperature,yield_ton_ha
Bandung,Jawa Barat,2018,22.776986301369863,27.61260273972603,18.578630136986302,2264.0,6.2027397260273975,78.02191780821917,9.717230570776255,19.025506849315068,3.864684931506849,1.6254794520547944,4.8221917808219175,0.29583013698630134,0.28616164383561643,24.30849315068493,5.785
Bandung,Jawa Barat,2019,23.0616,28.1,18.5918,2091.3,6.3315,77.0411,10.1256,20.2623,4.12849,1.7509,4.8975,0.283482,0.277118,24.6052,6.113
Bandung,Jawa Barat,2020,22.8238,26.9475,19.209,3214.8,9.2623,82.9071,9.201,17.9963,3.55202,1.23005,4.4514,0.334262,0.324615,23.6913,5.527
Bandung,Jawa Barat,2021,22.4082,26.4178,18.8578,3412.1,9.3616,84.1808,8.9294,17.9202,3.47488,1.10496,4.3312,0.346997,0.335195,23.151,6.146
Bandung,Jawa Barat,2022,22.2984,26.4726,18.7219,2765.4,7.8795,84.789,8.9451,18.3436,3.53912,1.07627,4.3077,0.363107,0.356345,23.1008,6.084
Bandung,Jawa Barat,2023,23.189,28.2197,18.6559,1816.8,5.8685,78.5808,9.8964,20.3159,4.12271,1.69792,4.7685,0.283129,0.274666,24.5986,6.08
Bandung,Jawa Barat,2024,23.45710382513661,28.38060109289617,19.25191256830601,2302.1,6.551912568306011,80.72131147540983,9.743869732847601,19.674289617486338,3.963032786885246,1.5577322404371585,4.2724043715847,0.308603825136612,0.3001311475409836,24.628688524590164,6.433
Bandung,Jawa Barat,2025,22.94219178082192,27.957534246575342,19.053424657534247,2852.7,7.846575342465753,82.91780821917808,9.324436575342466,18.74682191780822,3.7286849315068493,1.4707397260273973,4.015342465753425,0.36571780821917804,0.36904931506849314,23.414520547945205,6.326
Bandung Barat,Jawa Barat,2018,22.236986301369864,26.377260273972606,19.176986301369865,2252.4,6.863013698630137,80.07671232876713,9.73149204718417,18.712739726027397,3.699068493150685,1.3692602739726027,6.664109589041096,0.3354493150684931,0.33345479452054794,23.642739726027397,5.402
Bandung Barat,Jawa Barat,2019,22.6721,27.2055,19.2663,2394.4,7.3808,78.1753,10.017,19.6027,3.95964,1.58181,6.5236,0.309679,0.303205,24.0967,5.448
Bandung Barat,Jawa Barat,2020,22.3049,26.0552,19.6527,3663.3,10.2295,84.5902,9.1027,17.5294,3.37508,1.11306,6.1276,0.387951,0.387642,22.9899,5.639
Bandung Barat,Jawa Barat,2021,21.966,25.6647,19.3458,3598.0,10.2356,85.5589,8.9992,17.8586,3.3734,1.03984,6.0307,0.396334,0.39603,22.6734,5.297
Bandung Barat,Jawa Barat,2022,21.8918,25.729,19.2644,3223.6,8.3315,85.411,8.9474,18.1873,3.4246,1.02134,5.7742,0.395614,0.39526,22.677,5.262
Bandung Barat,Jawa Barat,2023,22.4241,27.0047,18.9808,2122.1,6.9726,80.5479,9.8963,19.9245,3.90096,1.44912,6.0921,0.327838,0.322578,23.54,5.362
Bandung Barat,Jawa Barat,2024,22.55655737704918,27.04289617486339,19.395628415300546,2939.3,7.806010928961749,82.6584699453552,9.640289981785063,19.218442622950818,3.7364754098360655,1.3079234972677596,5.532786885245901,0.36570218579234975,0.36568032786885246,23.39863387978142,5.398
Bandung Barat,Jawa Barat,2025,22.314246575342466,27.095616438356164,19.4027397260274,2765.5,8.361643835616439,82.92876712328767,9.210341225266362,18.651260273972603,3.612,1.3955616438356164,5.141369863013699,0.38233972602739724,0.3825534246575343,22.96712328767123,5.812
Bangkalan,Jawa Timur,2018,27.594794520547946,30.78082191780822,25.033424657534248,1668.2,6.101369863013699,75.98630136986301,10.283801377473363,20.496410958904107,4.541095890410959,1.8789315068493149,9.264383561643836,0.2697013698630137,0.2730383561643836,30.51753424657534,5.95
Bangkalan,Jawa Timur,2019,27.7408,31.0164,25.0203,1660.6,6.8192,75.6384,10.4111,20.7848,4.64953,1.92742,9.291,0.257885,0.24023,30.9055,5.059
Bangkalan,Jawa Timur,2020,27.7298,30.7574,25.3495,2250.1,8.9016,78.8333,9.8652,19.3245,4.26238,1.69615,9.1538,0.301956,0.281877,29.9208,4.706
Bangkalan,Jawa Timur,2021,27.4055,30.4485,25.0427,2565.5,8.5836,79.5945,9.7052,19.2669,4.1537,1.63611,8.9704,0.302995,0.289674,29.4164,4.638
Bangkalan,Jawa Timur,2022,27.0362,29.8682,24.8326,3026.8,8.874,81.9452,9.3457,19.0901,3.98858,1.34575,8.483,0.350586,0.341586,28.5805,4.866
