kabupaten,province,centroid_lat,centroid_lon,bbox_min_lat,bbox_max_lat,bbox_min_lon,bbox_max_lon
Kota Cilegon,Banten,-6.0022,106.0005,-6.07,-5.92,105.93,106.08
Kota Serang,Banten,-6.1197,106.15,-6.18,-6.06,106.1,106.22
Kota Tangerang,Banten,-6.1783,106.6333,-6.24,-6.12,106.58,106.71
Lebak,Banten,-6.5584,106.251,-7.08,-6.15,105.86,106.58
Pandeglang,Banten,-6.3083,106.1067,-7.07,-6.05,105.17,106.2
Serang,Banten,-6.12,106.15,-6.38,-5.9,105.85,106.3
Tangerang,Banten,-6.1702,106.63,-6.38,-6.08,106.48,106.82
Bantul,DI Yogyakarta,-7.8878,110.3394,-8.06,-7.77,110.22,110.52
Gunung Kidul,DI Yogyakarta,-7.9699,110.597,-8.17,-7.71,110.33,110.85
Kota Yogyakarta,DI Yogyakarta,-7.7956,110.3695,-7.84,-7.75,110.32,110.43
Kulon Progo,DI Yogyakarta,-7.8222,110.1567,-7.97,-7.68,110.01,110.33
Sleman,DI Yogyakarta,-7.7168,110.3543,-7.82,-7.54,110.2,110.61
Bandung,Jawa Barat,-7.0706,107.5627,-7.35,-6.8,107.25,107.92
Bandung Barat,Jawa Barat,-6.85,107.45,-7.05,-6.68,107.25,107.7
Bekasi,Jawa Barat,-6.2383,107.0291,-6.45,-6.08,106.84,107.23
Bogor,Jawa Barat,-6.5971,106.806,-6.9,-6.22,106.48,107.18
Ciamis,Jawa Barat,-7.3302,108.3526,-7.5,-7.08,108.15,108.54
Cianjur,Jawa Barat,-6.82,107.1397,-7.34,-6.58,106.9,107.56
Cirebon,Jawa Barat,-6.74,108.55,-6.92,-6.52,108.43,108.75
Garut,Jawa Barat,-7.2111,107.8941,-7.55,-6.95,107.55,108.13
Indramayu,Jawa Barat,-6.3278,108.3253,-6.62,-6.15,107.94,108.58
Karawang,Jawa Barat,-6.3218,107.3328,-6.52,-6.15,107.1,107.62
Kota Bandung,Jawa Barat,-6.9175,107.6191,-6.98,-6.84,107.55,107.71
Kota Banjar,Jawa Barat,-7.3656,108.5381,-7.41,-7.31,108.48,108.6
Kota Bekasi,Jawa Barat,-6.2383,106.9756,-6.31,-6.17,106.88,107.04
Kota Bogor,Jawa Barat,-6.5971,106.806,-6.65,-6.55,106.75,106.87
Kota Cimahi,Jawa Barat,-6.87,107.54,-6.9,-6.84,107.5,107.58
Kota Cirebon,Jawa Barat,-6.7319,108.5523,-6.77,-6.69,108.51,108.6
Kota Depok,Jawa Barat,-6.4025,106.7942,-6.47,-6.31,106.7,106.9
Kota Sukabumi,Jawa Barat,-6.9207,106.927,-6.96,-6.87,106.88,106.98
Kota Tasikmalaya,Jawa Barat,-7.3548,108.2207,-7.39,-7.31,108.17,108.27
Kuningan,Jawa Barat,-6.976,108.4787,-7.22,-6.8,108.29,108.67
Majalengka,Jawa Barat,-6.8358,108.2278,-7.05,-6.64,108.0,108.5
Pangandaran,Jawa Barat,-7.6866,108.6543,-7.82,-7.51,108.45,108.8
Purwakarta,Jawa Barat,-6.5565,107.4388,-6.7,-6.4,107.28,107.62
Subang,Jawa Barat,-6.57,107.76,-6.8,-6.27,107.55,108.05
Sukabumi,Jawa Barat,-6.9207,106.927,-7.26,-6.65,106.5,107.2
Sumedang,Jawa Barat,-6.8544,107.9209,-7.08,-6.62,107.68,108.21
Tasikmalaya,Jawa Barat,-7.3288,108.2065,-7.51,-7.08,107.96,108.42
Banjarnegara,Jawa Tengah,-7.387,109.6977,-7.62,-7.15,109.5,109.97
Banyumas,Jawa Tengah,-7.4143,109.2227,-7.67,-7.23,108.96,109.46
Batang,Jawa Tengah,-6.909,109.729,-7.15,-6.8,109.55,110.0
Blora,Jawa Tengah,-6.9622,111.4143,-7.27,-6.74,111.12,111.73
Boyolali,Jawa Tengah,-7.5327,110.5951,-7.67,-7.29,110.39,110.84
Brebes,Jawa Tengah,-6.872,108.8641,-7.23,-6.75,108.64,109.15
Cilacap,Jawa Tengah,-7.7298,109.0068,-7.9,-7.4,108.58,109.3
Demak,Jawa Tengah,-6.8938,110.6397,-7.07,-6.76,110.45,110.83
Grobogan,Jawa Tengah,-7.0107,110.9187,-7.25,-6.77,110.6,111.25
Jepara,Jawa Tengah,-6.5893,110.6718,-6.81,-5.96,110.45,110.98
Karanganyar,Jawa Tengah,-7.5927,111.036,-7.72,-7.41,110.84,111.25
Kebumen,Jawa Tengah,-7.6696,109.6558,-7.85,-7.53,109.34,109.94
Kendal,Jawa Tengah,-6.9213,110.2014,-7.17,-6.81,110.01,110.38
Klaten,Jawa Tengah,-7.706,110.6077,-7.78,-7.62,110.53,110.73
Kota Magelang,Jawa Tengah,-7.4797,110.2177,-7.51,-7.45,110.19,110.25
Kota Pekalongan,Jawa Tengah,-6.8899,109.6753,-6.92,-6.86,109.63,109.73
Kota Salatiga,Jawa Tengah,-7.3305,110.5084,-7.37,-7.29,110.47,110.55
Kota Semarang,Jawa Tengah,-6.9932,110.4203,-7.12,-6.9,110.29,110.53
Kota Surakarta,Jawa Tengah,-7.5569,110.8313,-7.59,-7.52,110.79,110.88
Kota Tegal,Jawa Tengah,-6.8694,109.1402,-6.9,-6.84,109.1,109.19
Kudus,Jawa Tengah,-6.8048,110.8366,-6.92,-6.71,110.74,110.96
Magelang,Jawa Tengah,-7.4802,110.2158,-7.68,-7.32,110.02,110.44
Pati,Jawa Tengah,-6.751,111.0385,-6.97,-6.56,110.83,111.35
Pekalongan,Jawa Tengah,-6.8898,109.675,-7.12,-6.79,109.47,109.92
Pemalang,Jawa Tengah,-6.8927,109.3766,-7.15,-6.77,109.17,109.61
Purbalingga,Jawa Tengah,-7.3928,109.3669,-7.52,-7.27,109.22,109.55
Purworejo,Jawa Tengah,-7.7149,110.0082,-7.85,-7.56,109.79,110.25
Rembang,Jawa Tengah,-6.7051,111.3421,-6.92,-6.54,111.09,111.62
Semarang,Jawa Tengah,-7.1684,110.3993,-7.37,-7.02,110.18,110.65
Sragen,Jawa Tengah,-7.4277,111.0272,-7.53,-7.31,110.81,111.23
Sukoharjo,Jawa Tengah,-7.6865,110.8374,-7.77,-7.6,110.72,110.96
Tegal,Jawa Tengah,-6.8797,109.1256,-7.18,-6.8,108.92,109.36
Temanggung,Jawa Tengah,-7.3107,110.1708,-7.46,-7.17,110.01,110.34
Wonogiri,Jawa Tengah,-7.8148,110.9218,-8.06,-7.61,110.65,111.22
Wonosobo,Jawa Tengah,-7.3606,109.9033,-7.51,-7.19,109.73,110.11
Bangkalan,Jawa Timur,-7.0433,112.7323,-7.22,-6.86,112.58,112.94
Banyuwangi,Jawa Timur,-8.2196,114.3691,-8.71,-7.89,113.97,114.6
Blitar,Jawa Timur,-8.1011,112.168,-8.32,-7.94,111.95,112.44
Bojonegoro,Jawa Timur,-7.15,111.8815,-7.36,-6.95,111.5,112.31
Bondowoso,Jawa Timur,-7.9096,113.8227,-8.14,-7.66,113.57,114.04
Gresik,Jawa Timur,-7.156,112.6514,-7.32,-6.86,112.38,112.96
Jember,Jawa Timur,-8.1724,113.688,-8.51,-7.94,113.35,114.05
Jombang,Jawa Timur,-7.5464,112.2318,-7.69,-7.4,112.05,112.46
Kediri,Jawa Timur,-7.8306,112.0188,-8.07,-7.67,111.79,112.32
Kota Batu,Jawa Timur,-7.868,112.5279,-7.92,-7.79,112.46,112.61
Kota Blitar,Jawa Timur,-8.0953,112.1608,-8.12,-8.07,112.13,112.19
Kota Kediri,Jawa Timur,-7.8169,112.0115,-7.85,-7.78,111.97,112.06
Kota Madiun,Jawa Timur,-7.6564,111.5227,-7.69,-7.62,111.49,111.56
Kota Malang,Jawa Timur,-7.9797,112.6304,-8.04,-7.93,112.58,112.69
Kota Mojokerto,Jawa Timur,-7.4726,112.4339,-7.5,-7.45,112.41,112.47
Kota Pasuruan,Jawa Timur,-7.6453,112.9068,-7.68,-7.61,112.87,112.94
Kota Probolinggo,Jawa Timur,-7.765,113.2158,-7.79,-7.73,113.18,113.26
Kota Surabaya,Jawa Timur,-7.2504,112.7688,-7.35,-7.15,112.64,112.88
Lamongan,Jawa Timur,-7.1177,112.4148,-7.32,-6.82,112.15,112.7
Lumajang,Jawa Timur,-8.135,113.222,-8.42,-7.89,112.91,113.54
Madiun,Jawa Timur,-7.6298,111.5239,-7.79,-7.47,111.33,111.76
Magetan,Jawa Timur,-7.6499,111.3286,-7.77,-7.52,111.2,111.47
Malang,Jawa Timur,-8.1565,112.6288,-8.45,-7.86,112.25,112.98
Mojokerto,Jawa Timur,-7.47,112.4343,-7.61,-7.33,112.25,112.63
Nganjuk,Jawa Timur,-7.603,111.905,-7.76,-7.44,111.65,112.2
Ngawi,Jawa Timur,-7.409,111.4469,-7.59,-7.22,111.2,111.72
Pacitan,Jawa Timur,-8.1955,111.0984,-8.45,-7.93,110.85,111.45
Pamekasan,Jawa Timur,-7.1567,113.4726,-7.28,-7.05,113.25,113.67
Pasuruan,Jawa Timur,-7.6457,112.907,-7.98,-7.51,112.64,113.2
Ponorogo,Jawa Timur,-7.8636,111.4636,-8.11,-7.65,111.23,111.76
Probolinggo,Jawa Timur,-7.7697,113.2154,-8.12,-7.57,112.9,113.58
Sampang,Jawa Timur,-7.1954,113.2472,-7.35,-7.02,112.96,113.5
Sidoarjo,Jawa Timur,-7.4459,112.718,-7.57,-7.32,112.59,112.88
Situbondo,Jawa Timur,-7.705,114.0088,-7.93,-7.49,113.6,114.45
Sumenep,Jawa Timur,-6.9878,113.8611,-7.15,-6.77,113.55,116.0
Trenggalek,Jawa Timur,-8.0688,111.7086,-8.3,-7.87,111.48,111.92
Tuban,Jawa Timur,-6.899,112.0397,-7.17,-6.73,111.69,112.35
Tulungagung,Jawa Timur,-8.0646,111.9033,-8.27,-7.93,111.72,112.12
